pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
45.4974,83.0405,117.077,183.96,203.82,841.486,1605.5,6.42326
66.9976,53.6972,94.9255,99.5739,264.073,857.075,1589.21,11.9319
31.4407,31.7797,46.1556,80.379,206.005,832.086,1614.87,9.39668
59.7937,58.3608,91.6129,111.892,171.09,905.129,1545.01,5.33532
41.993,47.3349,52.2649,74.7141,217.503,854.265,1592.87,9.05709
33.1807,43.5356,44.8828,67.4392,169.345,823.85,1624.24,4.58227
18.7655,32.7732,41.7474,109.356,180.412,840.231,1604.27,14.6574
40.3962,59.876,55.1078,117.774,195.933,897.09,1550.01,9.52623
34.5641,31.1103,58.8897,55.6128,162.033,827.388,1619.27,10.7025
30.2102,34.5796,23.7658,51.012,162.027,874.419,1574,9.68382
26.3254,51.5276,40.6244,55.8668,176.112,863.408,1585.62,14.1179
44.9403,51.2896,40.7026,131.523,286.095,845.798,1602.53,8.34445
40.2765,31.77,69.3695,54.6486,226.362,856.384,1590.91,14.861
26.9091,51.4892,83.3242,79.7033,181.219,847.033,1601.37,13.6341
43.9546,46.3619,42.1021,60.1753,179.987,802.067,1647.51,3.7185
40.9259,42.2695,78.7757,103.216,217.683,900.846,1546.23,10.8963
34.8112,38.3909,28.9322,60.6563,205.994,889.371,1560.91,4.0889
46.6612,43.0724,38.8503,83.2566,177.836,882.515,1568.58,3.75743
31.5502,34.0723,23.6506,71.0924,248.988,878.472,1570.42,7.01072
20.4839,24.9679,19.9695,42.1997,169.162,886.751,1561.28,13.8953
33.9655,30.2299,28.0673,61.7356,248.603,860.885,1587.6,10.5437
46.7287,41.965,64.5927,92.6396,191.274,902.011,1549.87,6.22673
57.6288,61.1497,74.6229,81.5033,175.949,860.25,1591.98,8.50836
32.3846,24.3965,24.2485,52.6667,215.925,888.503,1561.24,8.3831
44.6094,45.506,79.2852,76.4242,221.313,853.765,1597.47,12.1329
41.2489,39.6856,50.3784,82.33,243.669,850.001,1600.26,9.56339
24.4686,22.5401,19.8624,62.1969,184.711,881.673,1568.02,11.8366
23.7481,22.1812,26.464,49.0977,164.215,832.52,1618.28,13.234
27.5969,28.0024,23.2423,51.2329,198.533,879.403,1572.01,13.0083
50.4692,42.7019,63.889,111.072,255.575,846.294,1606.45,4.99732
26.7655,30.6114,157.554,46.0352,184.005,856.134,1594.77,14.607
23.5451,29.6337,24.5835,51.3604,179.815,899.884,1551.12,12.7666
19.7952,18.3828,17.6568,40.7839,175.627,826.046,1625.79,13.3931
46.4368,47.4244,63.1264,88.3239,197.932,812.644,1642.34,3.55626
30.9531,32.7405,28.2273,47.8695,164.232,738.754,1716.32,4.4381
32.7765,22.6246,41.6676,58.6246,184.202,862.55,1591.96,13.8588
36.0778,38.3741,39.3628,65.9659,200.756,866.078,1589.61,11.9387
31.7762,27.9587,45.3752,123.126,179.145,828.257,1627.2,8.30036
28.9563,26.4741,17.7298,45.5583,176.395,886.52,1567.27,13.3267
28.1873,31.6584,36.6736,63.0317,164.919,903.336,1551.85,9.76631
34.1672,34.4418,35.3134,61.4806,215.548,901.851,1554.66,3.22725
27.3917,22.577,27.0352,66.6677,194.332,825.248,1630.27,13.2503
28.8065,33.3137,31.6327,68.5137,178.26,835.464,1620.75,9.92122
25.7613,27.1307,56.8317,75.0578,232.482,811.214,1644.86,9.45239
63.9208,42.0139,79.7465,61.9248,212.653,737.601,1719.95,4.21705
37.4338,40.3299,134.531,104.619,221.401,811.167,1647.39,5.5875
37.752,41.1504,34.2048,86.4816,197.528,872.368,1584.55,9.65802
37.6548,35.4406,123.705,64.03,185.179,856.121,1601.77,11.2693
43.5285,59.4411,69.0989,84.1027,186.572,907.173,1552.22,3.40717
44.8029,50.9794,47.5721,66.7765,189.94,851.731,1607.39,6.35725
41.6646,34.5142,37.3766,60.8054,263.226,905.189,1553.64,6.97082
39.8374,45.8318,36.3875,69.8072,166.556,900.222,1559.63,2.54225
32.4648,26.5465,31.739,61.6338,202.273,840.172,1622.19,9.74399
42.4444,40.6543,28.3472,73.0154,209.921,893.474,1566.97,4.88698
39.2584,43.9442,32.8179,81.2364,273.884,870.383,1589.29,10.3431
33.8189,27.8189,27.3741,271.224,283.498,829.132,1631.77,10.6934
33.8452,29.1002,24.7213,56.0018,171.104,878.424,1580.92,10.5213
21.2373,23.9552,22.1489,69.8354,183.657,836.174,1623.74,13.8067
34.1784,38.3175,31.7348,75.157,226.061,902.378,1559.29,6.80018
16.7389,8.82407,12.0815,87.6611,208.62,829.382,1631.45,14.7817
37.6921,72.8211,57.8921,89.1263,182.253,868.323,1592.91,8.55578
27.7903,29.1413,26.3734,65.3133,221.991,874.094,1587.47,13.5731
27.7778,29.4861,135.881,41.6806,173.634,860.023,1602.33,13.8262
38.9722,32.9335,34.6986,65.102,162.037,824.764,1638.76,3.68151
47.7071,54.5125,55.3526,96.9884,164.518,843.213,1623.36,5.29466
33.1709,29.0668,101.969,68.9568,197.029,856.552,1607.28,14.1116
23.3185,32.79,41.2527,61.8416,178.1,854.627,1608.64,9.75924
31.7402,29.4696,27.851,79.1144,187.565,833.76,1630.47,12.1321
49.3122,45.256,49.9804,64.1659,174.393,829.138,1640.64,3.60769
34.0276,37.8527,62.4905,61.7548,160.381,875.921,1592.39,13.4597
31.4413,28.7968,29.4524,81.4286,233.333,896.244,1570.35,8.57416
27.9119,56.1774,53.4176,82.6063,167.769,821.211,1647.58,8.37268
23.9348,22.7695,23.3306,44.702,181.125,845.76,1621.65,13.7269
32.5593,41.1077,39.4467,66.362,165.936,842.143,1626.95,8.39785
32.016,28.9496,93.9988,51.6057,206.139,855.691,1612.19,13.8338
39.5969,36.4789,37.552,64.1489,217.308,825.892,1645.38,5.43709
35.7723,36.0812,38.8153,68.7086,229.046,897.719,1573.54,7.25958
41.5281,45.4487,36.4752,79.1871,213.071,822.403,1648.46,3.90395
32.178,43.553,31.3447,74.3447,167.027,846.609,1624.14,4.48844
41.854,40.5,154.661,100.765,200.05,891.998,1580.14,6.82382
33.8344,38.8185,52.0223,66.5329,184.993,895.598,1577.13,9.63468
35.8598,39.0378,30.7024,98.2268,207.394,884.437,1587.24,12.833
27.9254,33.6026,41.4934,94.7954,167.472,854.149,1620.12,13.1624
53.7993,58.1455,104.278,98.4199,191.076,898.385,1578.08,6.47893
36.7158,36.9005,37.813,62.1835,171.357,834.072,1643.4,5.7468
23.9235,25.3229,33.5807,51.7365,177.727,892.288,1581.31,13.2019
41.1647,37.1069,65.4557,63.8796,187.336,850.837,1625.89,12.377
37.4032,38.9394,35.8867,57.6535,268.722,844.663,1553.25,12.1533
46.106,42.7812,44.3562,72.4092,224.009,836.025,1565.96,6.70951
37.9628,40.2195,28.8966,64.9721,173.605,741.985,1658.43,4.20993
32.4159,39.3375,33.7691,59.7168,181.032,760.077,1640.87,6.50711
28.7063,33.5513,30.1807,64.2319,194.73,716.831,1683.17,10.4298
37.385,36.2039,34.9918,83.0669,161.271,748.412,1652.93,5.78278
29.4138,45.6285,31.4263,83.1489,163.107,718.436,1680.3,12.9931
41.3661,45.2277,40.7455,82.3899,223.744,911.604,1487.28,9.8448
48.0415,31.5298,73.0376,81.842,202.43,790.436,1609.04,14.0177
41.7822,44.4168,38.5257,79.893,205.249,832.982,1570.2,8.10876
45.1519,48.2924,38.8578,82.3926,201.118,863.495,1537.43,6.82406
24.5145,25.3496,27.3152,50.9692,197.484,899.307,1499.48,12.8329
37.1532,30.6152,37.8272,73.3333,278.388,887.786,1512.72,10.4298
33.3399,37.4841,49.4431,84.3885,197.826,704.842,1696.47,2.64579
26.3124,27.2023,33.0104,78.265,193.583,894.78,1506.4,13.2635
46.9677,40.5526,50.3002,85.927,180.256,853.627,1550.93,6.3356
40.3663,52.5124,40.9282,73.0891,182.189,867.574,1534.05,5.77214
35.7012,44.7441,44.0939,78.4534,178.951,716.925,1686.03,5.68149
43.4284,46.5702,65.617,89.2534,172.555,784.473,1620.05,6.78863
34.3975,40.569,28.2455,81.5342,220.499,719.542,1682.22,5.05807
30.2848,33.8248,33.8467,74.2903,202.352,851.934,1548.44,12.0374
40.9655,36.3598,38.331,65.6655,254.21,879.341,1522.1,7.67411
45.2741,69.3716,61.1247,122.552,243.446,798.397,1601.9,11.1412
33.174,46.3809,33.3135,67.1567,195.68,728.837,1673.32,4.81653
45.7978,48.9694,38.3529,154.608,244.931,817.73,1583.85,7.50472
24.8499,19.9389,31.3944,69.3944,210.778,798.54,1602.32,14.9166
38.1284,39.4617,37.2016,78.6599,165.878,855.547,1547.4,8.81001
30.5275,38.4703,27.1736,77.7275,251.086,813.016,1588.14,13.6587
35.5284,39.7121,35.4822,64.1505,189.07,875.753,1526.76,5.79224
18.8199,23.0806,18.1681,57.3859,180.676,723.047,1678.48,11.9882
29.1397,40.3609,29.9441,100.891,174.384,777.194,1625.11,10.4628
38.2519,37.9207,34.7801,82.39,193.066,777.334,1625.54,5.94622
29.6589,37.9297,27.3555,70,182.178,731.418,1670.28,8.35998
28.4363,28.1831,25.1293,60.0197,171.679,872.441,1529.62,10.1118
26.3805,35.1627,44.2453,66.5782,178.109,837.879,1564.17,11.8055
23.0064,41.3013,40.259,56.0333,212.729,888.059,1515.42,14.1548
32.0838,34.2607,33.2115,51.7822,277.262,843.662,1558.38,13.8838
47.7806,64.6284,48.6219,179.766,287.681,816.202,1588.41,6.26032
25.7082,27.4557,22.0269,53.7587,228.246,891.596,1510.55,13.2443
47.0327,39.7937,40.0277,69.3925,256.677,893.664,1510.92,5.10875
41.6975,60.5224,54.0527,87.1055,224.735,887.105,1519.75,6.12804
44.0382,31.1029,28.6515,76.6515,318.509,846.278,1556.67,9.40557
18.3387,36.8284,33.1041,53.4018,185.331,840.493,1562.6,14.4535
43.645,81.3353,65.5454,95.8826,186.013,840.178,1566.85,6.19094
34.8324,34.9371,41.8752,76.0019,259.952,795.5,1607.72,13.1961
40.3583,41.6042,58.5932,80.6549,175.194,809.266,1597.52,4.6795
32.7755,37.9415,35.7905,83.9578,187.099,792.712,1612.09,7.90119
29.3318,28.1022,83.3587,68.2583,164.006,730.988,1675.11,11.333
54.3531,54.245,59.4291,81.3018,190.104,730.041,1677.64,3.78075
35.3267,34.9895,33.179,88.0619,220.802,897.696,1511.39,5.13853
46.6301,38.8736,58.4435,80.2809,273.914,894.003,1513.94,9.30345
40.1406,41.2478,104.091,157.051,245.912,705.188,1700.42,5.4142
56.2721,47.5353,53.8922,99.0283,255.265,890.516,1515.21,5.27809
45.1817,64.2401,53.2765,87.8373,269.354,842.887,1562.45,6.94066
45.0415,44.4869,52.8438,101.181,172.364,828.376,1579.07,8.05752
32.3388,35.6775,50.1167,70.6449,218.62,813.546,1592.9,8.94982
30.567,28.7214,30.6296,73.3337,205.063,722.47,1682.99,11.8786
41.9245,34.1757,33.9861,84.4545,216.367,850.117,1555.39,6.88992
37.2564,35.5479,30.9663,65.8556,195.671,760.251,1646.51,3.84734
33.334,33.1211,36.5762,85.9669,213.598,781.79,1625.39,8.24068
31.3845,30.967,30.3086,78.7013,254.688,896.487,1508.22,8.59992
23.9267,46.0835,37.9231,62.3517,166.442,796.46,1612.61,13.5733
27.272,24.6182,21.1579,88.3316,228.25,850.637,1555.26,13.614
39.3913,45.922,76.2714,86.3118,194.649,877.657,1528.71,10.3512
23.915,23.0709,21.1923,115.069,167.049,823.233,1581.55,14.3594
26.7973,34.6795,39.7986,98.1589,201.367,803.685,1601.65,11.8079
26.5072,24.3684,23.8612,80.6412,187.199,857.175,1546.93,14.0085
43.9063,58.5166,83.8392,179.771,228.953,803.61,1604.56,6.82072
46.3359,33.5878,39.7595,133.679,184.641,750.805,1655.98,3.24125
47.1784,42.3273,48.8387,73.203,161.444,850.081,1561.32,7.10813
18.6209,20.8195,14.3303,76.3556,181.733,920.627,1484.46,13.3511
30.4876,26.7403,27.1027,48.1535,204.686,812.5,1593.72,12.9219
40.0172,40.0873,43.1058,87.2718,175.674,757.686,1652.34,7.2475
45.4053,47.9345,37.7033,87.7173,222.861,879.454,1530.15,4.04954
23.6923,34.0735,28.9204,83.4703,165.936,857.061,1551.91,12.1479
45.7027,45.4877,41.8658,100.819,207.875,859.446,1549.69,5.94529
21.8979,29.1912,28.7209,87.9394,184.561,810.463,1597.19,13.4518
34.1721,35.3279,32.0809,63.7382,289.759,845.192,1561.89,11.8525
39.6723,38.6799,33.3017,61.732,194.746,876.041,1533.71,3.71551
24.4036,29.9904,29.3983,59.9489,178.309,801.595,1605.83,13.837
33.247,36.3445,45.3338,64.0366,190.197,849.949,1560.42,14.4076
36.7585,36.8677,73.0928,66.8786,207.158,734.447,1675.85,7.44425
38.6569,33.5554,34.5662,71.72,224.24,877.264,1532.64,8.16982
66.1436,51.8835,62.5799,76.1382,166.664,718.233,1691.88,3.81197
32.9514,30.3824,26.9724,65.7359,162.993,770.243,1640.06,5.56168
37.8501,36.6781,42.4421,65.9316,208.537,814.659,1595.97,6.64629
49.882,51.354,56.7334,119.537,170.932,760.777,1653.05,4.13416
43.7107,44.3168,41.4162,98.2461,212.652,755.001,1657.3,4.55777
45.6029,43.02,42.0743,89.9314,271.403,892.479,1518.1,5.12805
42.5741,44.337,31.7287,69.7167,170.005,735.591,1678.61,2.4066
39.9409,34.3411,31.4127,73.304,227.805,763.752,1647.69,6.14774
45.8809,61.5802,39.9069,198.991,195.922,808.397,1604.21,4.19233
47.6638,53.681,37.0916,78.4921,309.923,839.261,1571.41,9.23684
34.0817,36.9542,33.4101,83.7549,231.33,887.332,1523.15,9.03729
34.1019,26.1019,30.8182,75.9843,271.241,893.266,1517.3,11.8615
24.7911,31.1884,38.3348,48.4632,168.996,848.815,1565.47,13.2251
33.7387,42.2547,37.4754,61.9222,164.509,788.322,1626.3,9.30159
28.0617,31.7103,33.4038,88.8243,204.283,889.293,1521.9,12.9791
36.5963,35.8383,24.9556,64.0728,263.588,834.82,1576.99,8.67715
32.3472,26.2423,28.3816,66.3318,177.002,753.352,1661.16,7.9608
29.0433,19.44,32.95,59.22,250.71,894.504,1514.62,15.035
32.7415,35.5015,35.241,64.8898,197.796,780.771,1631.61,8.84294
44.8729,49.5597,28.1442,80.2264,243.315,837.909,1574.17,6.43108
33.1892,40.4064,65.2709,132.195,205.681,806.397,1604.96,10.2505
